id,new_item_today,schedule_changed_today,emotion_state_today,routine_destination_tomorrow,special_event_tomorrow,extra_items_needed_tomorrow,time_difference_tomorrow,will_forget
1,True,True,late,True,False,True,True,True
2,False,False,late,True,True,True,True,True
3,True,False,busy,True,False,False,False,False
4,False,True,late,True,True,False,False,True
5,True,True,busy,False,False,True,True,True
6,True,False,busy,False,False,True,True,False
7,False,False,late,True,False,False,False,False
8,False,False,late,True,False,True,False,True
9,False,False,late,False,True,True,False,True
10,True,False,late,False,False,True,False,True
11,True,True,late,True,False,True,True,True
12,True,True,busy,True,True,False,True,False
13,False,True,busy,False,True,False,True,False
14,True,False,late,True,True,True,False,True
15,True,True,late,True,True,False,False,True
16,True,True,late,True,True,True,False,True
17,True,True,late,True,False,False,False,True
18,True,False,busy,True,False,True,False,False
19,False,True,busy,True,True,True,False,True
20,False,True,late,False,False,False,True,True
21,False,True,busy,False,False,False,False,True
22,True,True,busy,False,True,True,True,True
23,False,True,late,False,True,False,False,True
24,False,True,busy,False,True,True,True,True
25,True,False,busy,False,True,False,True,True
26,False,True,late,True,False,False,True,True
27,True,True,late,False,True,False,True,True
28,True,True,busy,True,False,True,True,True
29,False,True,busy,False,False,False,False,True
30,False,False,late,False,False,False,True,True
31,True,True,late,False,True,False,False,True
32,True,True,late,False,True,False,True,True
33,True,False,late,False,False,True,False,True
34,True,True,late,False,True,True,True,True
35,False,True,busy,True,True,True,True,False
36,True,False,busy,True,True,False,True,True
37,False,True,late,False,False,False,False,True
38,True,True,busy,False,False,False,True,True
39,False,True,busy,False,True,False,True,False
40,False,False,late,True,True,False,True,True
41,True,True,late,True,True,False,True,True
42,True,True,busy,True,True,True,True,True
43,True,True,busy,False,False,True,True,True
44,True,False,busy,False,False,True,False,False
45,True,False,busy,False,False,False,True,False
46,True,True,busy,False,False,False,False,True
47,True,True,busy,True,True,False,True,True
48,False,False,calm,False,True,False,False,False
49,True,True,busy,False,True,False,False,True
50,False,True,busy,False,False,True,True,True
51,False,False,late,False,False,False,True,True
52,False,True,late,False,True,False,True,True
53,False,False,late,False,True,False,True,True
54,True,True,late,True,True,True,False,True
55,True,False,busy,False,True,False,False,False
56,False,False,late,False,False,True,False,True
57,False,False,late,True,False,True,True,True
58,True,False,late,False,True,True,False,True
59,False,False,late,False,True,True,False,True
60,False,False,late,False,True,True,False,True
61,False,True,busy,True,False,False,False,False
62,True,True,busy,False,True,True,True,True
63,False,True,busy,True,False,True,True,True
64,True,False,late,True,True,True,False,True
65,False,True,busy,False,True,True,False,False
66,True,False,busy,False,False,True,True,True
67,True,True,busy,True,True,True,True,True
68,True,True,late,False,True,False,True,True
69,False,True,busy,False,True,True,True,True
70,True,True,busy,True,True,True,True,True
71,True,False,busy,True,False,False,False,True
72,False,False,calm,True,True,True,False,False
73,False,True,busy,True,False,False,False,False
74,True,True,late,False,False,False,True,True
75,False,False,calm,False,False,True,True,False
76,True,False,late,False,False,False,True,True
77,False,True,late,False,True,False,True,True
78,True,False,busy,True,True,True,False,True
79,True,False,late,True,False,True,True,True
80,True,False,late,False,True,True,True,True
81,True,True,late,True,False,False,False,True
82,False,True,busy,True,True,True,False,True
83,False,True,late,False,True,True,True,True
84,True,True,late,True,False,False,False,False
85,False,False,late,True,False,False,False,True
86,True,False,late,True,True,False,True,True
87,True,False,busy,False,True,True,False,False
88,True,True,late,True,False,False,False,True
89,False,False,late,False,False,True,True,False
90,False,False,calm,True,False,True,False,True
91,True,True,late,False,True,False,False,True
92,True,False,late,True,True,False,True,False
93,False,False,late,False,True,True,True,True
94,True,True,busy,True,True,False,False,True
95,True,True,late,False,True,False,False,True
96,False,False,late,False,True,False,False,False
97,True,True,late,True,False,True,False,True
98,False,False,late,True,False,True,False,False
99,True,False,late,True,True,True,False,False
100,False,True,busy,False,False,False,False,False
101,True,True,busy,True,False,False,False,False
102,True,False,late,True,True,False,False,False
103,False,False,calm,False,False,True,False,False
104,True,True,late,False,True,False,True,True
105,True,False,busy,True,False,False,False,True
106,False,False,calm,False,False,False,True,False
107,True,True,busy,False,True,False,True,True
108,False,True,late,False,False,False,False,True
109,False,True,busy,False,False,True,False,False
110,True,True,busy,False,False,True,True,True
111,True,True,late,False,False,True,False,True
112,False,False,late,True,True,False,False,False
113,True,False,busy,False,True,True,True,True
114,False,True,late,True,True,False,True,True
115,True,True,late,True,True,False,True,True
116,False,False,late,True,False,False,True,True
117,True,True,busy,False,False,False,True,False
118,True,True,busy,False,False,True,False,True
119,True,True,busy,True,False,False,False,False
120,True,False,late,True,False,True,False,True
121,False,True,late,True,True,True,False,True
122,False,True,late,True,False,False,False,True
123,False,False,calm,True,True,True,False,False
124,False,False,late,True,True,True,False,True
125,False,False,calm,False,True,True,False,True
126,False,False,late,True,False,False,False,True
127,False,True,busy,False,True,False,False,False
128,False,True,busy,False,True,True,True,False
129,False,True,busy,False,False,True,True,True
130,False,False,calm,False,True,False,False,False
131,False,False,calm,True,False,False,False,False
132,True,False,late,False,False,True,True,True
133,True,True,busy,False,True,True,False,False
134,False,True,late,False,True,True,True,True
135,False,True,busy,True,False,True,True,True
136,True,True,busy,True,True,True,False,False
137,False,False,late,False,True,True,True,True
138,True,True,late,False,True,True,False,True
139,False,True,late,True,False,True,True,True
140,False,True,late,True,True,True,False,True
141,False,False,late,False,False,True,False,True
142,True,False,busy,False,True,False,True,False
143,True,True,busy,True,True,False,False,False
144,True,True,late,True,False,True,True,True
145,False,True,late,False,False,True,True,True
146,False,True,busy,False,True,False,False,False
147,True,False,late,True,True,False,False,True
148,True,False,late,True,False,False,False,True
149,True,False,busy,True,True,True,False,True
150,True,False,late,False,False,False,True,True
151,False,False,late,False,False,False,True,True
152,True,False,busy,True,True,True,True,False
153,False,True,busy,False,False,False,True,False
154,False,False,calm,False,True,False,True,True
155,True,False,late,False,False,True,True,True
156,True,False,late,False,True,False,False,False
157,True,True,busy,False,True,False,True,True
158,False,True,late,False,False,False,False,True
159,True,False,busy,False,False,True,False,True
160,True,True,busy,False,True,True,False,False
161,False,False,late,False,False,True,True,True
162,True,False,late,True,False,True,True,True
163,False,False,late,True,True,True,False,True
164,True,True,busy,False,True,True,True,True
165,True,False,busy,True,True,True,True,True
166,False,False,late,False,True,False,True,True
167,False,True,late,True,True,True,False,True
168,True,True,late,True,True,True,True,True
169,False,False,calm,True,True,True,False,True
170,False,True,late,True,True,True,False,True
171,False,True,busy,False,False,False,False,False
172,True,False,busy,True,True,False,True,False
173,True,True,late,True,True,True,False,True
174,True,False,busy,False,True,True,True,True
175,False,False,late,False,False,False,False,False
176,True,False,busy,False,False,False,False,False
177,False,True,busy,True,True,True,True,True
178,True,True,busy,True,False,True,True,True
179,False,True,late,False,True,True,False,True
180,True,False,late,False,False,False,False,True
181,True,True,late,True,False,True,True,True
182,False,False,late,False,True,True,False,True
183,False,False,late,True,True,False,False,False
184,False,False,calm,False,True,False,False,False
185,False,False,calm,True,True,False,True,False
186,True,True,late,True,False,False,False,False
187,False,False,late,True,False,False,True,True
188,True,False,late,True,False,False,False,True
189,False,False,calm,True,True,False,True,False
190,True,True,busy,True,True,False,False,True
191,True,False,late,False,True,False,True,True
192,False,True,late,False,True,True,False,True
193,True,False,late,False,False,False,True,True
194,False,False,calm,True,True,True,False,True
195,True,False,late,True,True,True,True,True
196,False,False,calm,True,True,True,False,True
197,False,True,busy,True,True,True,True,True
198,True,False,busy,True,False,True,True,True
199,True,True,busy,False,False,False,True,False
200,True,False,late,True,False,True,True,True
201,True,False,late,False,True,True,True,True
202,False,True,late,True,False,True,False,True
203,True,False,busy,False,True,False,True,False
204,False,True,late,True,False,False,False,True
205,True,True,busy,True,True,False,True,False
206,True,True,busy,True,False,False,False,False
207,True,True,late,False,True,False,True,True
208,True,True,late,True,False,True,True,True
209,False,True,late,False,True,False,True,False
210,False,False,calm,False,True,True,True,True
211,True,False,busy,False,True,False,True,False
212,False,True,busy,True,True,True,True,True
213,True,False,late,True,False,True,True,True
214,False,False,late,False,True,True,True,True
215,True,False,busy,False,False,True,True,True
216,False,True,busy,True,False,False,True,True
217,True,False,late,True,True,True,True,True
218,False,False,late,True,True,True,True,True
219,True,False,late,True,True,False,False,True
220,True,True,late,True,False,False,True,True
221,False,False,calm,True,True,False,True,False
222,False,False,calm,False,True,True,True,True
223,True,False,busy,False,True,True,False,False
224,False,True,late,True,True,True,True,True
225,True,True,late,True,False,False,False,True
226,False,True,busy,True,True,False,True,False
227,False,False,calm,False,True,False,False,False
228,True,False,busy,True,True,True,True,True
229,False,True,late,True,False,True,True,True
230,True,False,busy,False,True,True,True,False
231,True,False,busy,True,False,True,False,False
232,False,False,calm,False,False,False,False,False
233,True,True,busy,True,False,True,True,True
234,False,True,late,False,False,True,False,True
235,False,False,calm,False,True,True,False,False
236,True,False,late,False,False,True,False,True
237,False,False,late,True,False,True,True,True
238,True,True,late,True,False,False,True,True
239,False,True,late,False,False,False,False,True
240,False,True,late,True,True,False,False,True
241,True,True,late,False,True,True,False,True
242,True,False,late,True,True,False,True,True
243,True,True,late,True,True,True,False,True
244,True,False,busy,True,True,True,True,True
245,True,False,late,False,True,False,True,True
246,True,False,busy,True,True,True,True,True
247,False,False,calm,True,False,True,False,False
248,True,False,late,False,True,False,False,True
249,False,False,calm,True,False,True,True,False
250,True,False,busy,True,True,True,False,False
251,True,True,busy,False,False,True,True,True
252,False,False,calm,True,True,False,False,False
253,True,True,late,False,True,False,False,False
254,True,True,busy,False,False,False,True,True
255,True,False,late,True,True,False,True,True
256,False,True,late,True,True,True,False,True
257,True,False,busy,False,True,True,True,True
258,False,False,calm,True,False,True,False,False
259,True,True,busy,False,True,False,True,True
260,False,False,late,True,False,False,False,False
261,False,False,calm,False,False,False,False,False
262,True,True,late,False,True,True,True,True
263,False,True,busy,False,False,False,False,True
264,True,False,busy,False,False,False,True,False
265,True,False,late,True,False,True,True,True
266,True,False,late,False,False,False,True,True
267,False,False,late,False,False,False,True,True
268,False,False,late,True,False,True,True,True
269,True,False,late,False,False,True,False,True
270,True,False,late,False,True,False,False,True
271,True,False,busy,True,True,False,True,True
272,False,True,late,True,True,False,True,True
273,True,False,busy,True,True,True,False,True
274,True,False,busy,False,True,True,True,True
275,True,False,busy,False,True,False,True,True
276,False,False,calm,True,True,True,True,False
277,False,False,late,False,True,False,True,True
278,False,False,calm,True,True,False,False,False
279,True,False,late,True,True,False,True,True
280,False,True,late,True,True,False,True,False
281,False,False,late,False,True,False,False,False
282,False,False,late,False,False,True,True,True
283,True,True,busy,True,False,True,False,False
284,False,True,busy,True,True,True,True,True
285,True,True,late,False,True,True,False,True
286,True,True,late,False,False,True,True,True
287,False,False,late,True,False,True,True,True
288,False,False,calm,False,True,False,True,True
289,True,False,busy,False,True,True,False,False
290,True,True,late,True,False,False,False,False
291,True,True,late,False,True,False,False,True
292,True,False,busy,True,True,False,False,False
293,True,True,busy,True,True,False,False,True
294,True,True,late,False,False,False,False,True
295,False,False,late,True,True,True,True,True
296,True,True,busy,True,True,False,True,False
297,True,True,late,False,False,False,True,True
298,True,False,late,False,False,False,False,True
299,False,False,late,False,False,True,True,True
300,True,False,late,True,False,True,False,True
301,False,False,,False,False,False,False,False
302,False,True,busy,False,False,False,False,
